record_id,well_id,time_days,anomaly_label,event_id,root_cause
TR00190,W009,1440.0,normal,E000,none
TR00104,W005,2520.0,normal,E000,none
TR00501,W022,3600.0,normal,E000,none
TR00572,W025,3960.0,normal,E000,none
TR00296,W013,3960.0,normal,E000,none
TR00411,W018,3960.0,spike,E008,single-point jump inconsistent with temporal/spatial plume
TR00527,W023,4140.0,spike,E004,single-point jump inconsistent with temporal/spatial plume
TR00334,W015,2520.0,spike,E009,single-point jump inconsistent with temporal/spatial plume
TR00415,W019,540.0,spike,E005,single-point jump inconsistent with temporal/spatial plume
TR00403,W018,2520.0,spike,E006,single-point jump inconsistent with temporal/spatial plume
TR00488,W022,1260.0,stuck_zero,E016,stuck_zero block caused by monitoring logger fault
TR00490,W022,1620.0,stuck_zero,E016,stuck_zero block caused by monitoring logger fault
TR00489,W022,1440.0,stuck_zero,E016,stuck_zero block caused by monitoring logger fault
TR00418,W019,1080.0,time_shift,E022,timestamp shift moves plume peak relative to travel-time ordering
TR00357,W016,2520.0,time_shift,E021,timestamp shift moves plume peak relative to travel-time ordering
TR00355,W016,2160.0,time_shift,E021,timestamp shift moves plume peak relative to travel-time ordering
TR00429,W019,3060.0,time_shift,E022,timestamp shift moves plume peak relative to travel-time ordering
TR00352,W016,1620.0,time_shift,E021,timestamp shift moves plume peak relative to travel-time ordering
TR00360,W016,3060.0,time_shift,E021,timestamp shift moves plume peak relative to travel-time ordering
TR00363,W016,3600.0,time_shift,E021,timestamp shift moves plume peak relative to travel-time ordering
TR00424,W019,2160.0,time_shift,E022,timestamp shift moves plume peak relative to travel-time ordering
TR00358,W016,2700.0,time_shift,E021,timestamp shift moves plume peak relative to travel-time ordering
TR00354,W016,1980.0,time_shift,E021,timestamp shift moves plume peak relative to travel-time ordering
TR00359,W016,2880.0,time_shift,E021,timestamp shift moves plume peak relative to travel-time ordering
TR00425,W019,2340.0,time_shift,E022,timestamp shift moves plume peak relative to travel-time ordering
TR00351,W016,1440.0,time_shift,E021,timestamp shift moves plume peak relative to travel-time ordering
TR00353,W016,1800.0,time_shift,E021,timestamp shift moves plume peak relative to travel-time ordering
TR00443,W020,1440.0,true_plume_arrival,E003,real plume arrival consistent with downstream travel
TR00444,W020,1620.0,true_plume_arrival,E003,real plume arrival consistent with downstream travel
TR00371,W017,900.0,true_plume_arrival,E001,real plume arrival consistent with downstream travel
TR00442,W020,1260.0,true_plume_arrival,E003,real plume arrival consistent with downstream travel
TR00373,W017,1260.0,true_plume_arrival,E001,real plume arrival consistent with downstream travel
TR00441,W020,1080.0,true_plume_arrival,E003,real plume arrival consistent with downstream travel
TR00326,W015,1080.0,true_plume_arrival,E002,real plume arrival consistent with downstream travel
TR00372,W017,1080.0,true_plume_arrival,E001,real plume arrival consistent with downstream travel
TR00324,W015,720.0,true_plume_arrival,E002,real plume arrival consistent with downstream travel
TR00498,W022,3060.0,unit_error,E015,mg/L and ug/L style scale mismatch
TR00499,W022,3240.0,unit_error,E015,mg/L and ug/L style scale mismatch
TR00374,W017,1440.0,unit_error,E014,mg/L and ug/L style scale mismatch
TR00375,W017,1620.0,unit_error,E014,mg/L and ug/L style scale mismatch
